Arousal,Valence,Dominance,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,MPS,TRT,GD,FFD,GPT,nFix
4.263,3.37,4.482,0.349,0,0,0,0,0.953,0,0.453,3393.726335,3272.114127,2271.848639,2042.908123,4918.966288,28.54330539
1.803,1.289,1.559,0,0,0,1.072,0,1.469,0,0,3541.701698,2037.391503,1254.270915,1211.811111,2808.687582,14.51339869
2.943,4.183,4.411,0,0.609,0.297,0,0.576,0.219,0,1.53,3393.698266,4614.541475,3705.400705,3282.506023,6345.915451,38.28337839
2.926,5.142,4.441,0,0,0.25,0,0,0,0,0.477,,,,,,
4.355,5.174,5.209,0,0,0,0,0.765,0,0,0.695,3361.964108,3248.623581,2384.391665,2072.423616,3890.354827,28.73165356
4.433,4.766,5.189,0,0,0,0,0.765,0,0,0,3344.495227,3712.044429,2817.109249,2514.253477,4904.954645,32.63318691
0.825,1.323,1.575,0,0,0,0,0,0,0,0.406,3394.335443,2514.926847,1692.412521,1505.196494,3213.256999,21.02895242
3.784,4.69,4.872,0,0,0,0.359,0.765,0,0,1.852,,,,,,
4.259,5.6,5.309,0,0,0,0,0.945,0,0,1.843,3306.176236,4178.466941,2975.676094,2699.070702,4906.834529,37.27720613
4.465,4.301,5.786,0.531,0,0,0.359,0,0,0,0,3300.477821,4950.202657,3977.798815,3241.968138,7380.811478,44.33893623
2.832,3.615,3.817,0.656,0,0.828,0.734,0.422,0.609,0,0.602,3440.395872,2662.004136,1690.591058,1501.815467,3335.184396,23.11154189
1.716,2.817,3.156,0,0,0,0,0,0,0,0,3390.589751,2989.167757,2182.536735,1983.625372,3661.673091,26.58581557
1.446,2.013,2.073,0,0,0,0,0.5,0,0,0,3472.169416,2420.988681,1725.235136,1587.471939,3055.910917,19.84941464
6.651,9.866,10.485,0,0.203,0,0.359,0.649,0,0.125,1.485,,,,,,
1.522,1.864,2.336,0,0,0,0,0,0,0,0.453,3484.979248,1974.745455,1590.571555,1381.474224,3489.036598,18.44451659
1.436,2.248,2.047,0,0,0,0,0,0,0,0,3397.850468,2051.451094,1454.946418,1318.124828,1842.303367,17.88506787
3.259,4.401,3.913,0.25,0,0.422,0.318,0.902,0.125,0,1.492,3396.349537,2917.257006,2451.318179,2267.19711,3110.640991,26.39112342
4.77,8.2,6.968,0,0.328,0,0,0.765,0,0,0.594,3272.086293,3781.930161,2880.042511,2622.930462,4164.386443,34.0432272
3.774,5.018,5.618,0,0.398,0,0.25,0,0,0,0,3378.0894,3518.958726,2961.156642,2604.840185,4332.500397,31.49163745
2.514,3.134,2.443,0,0,0.25,0,0.334,0,0,0,3356.959462,3004.339,1669.990086,1338.321737,3665.448775,23.40730152
3.561,4.267,4.554,0,0,0,0.2,0.303,0,0,0.664,3423.788812,2241.144444,1731.079785,1510.804809,2811.62423,18.82492997
2.358,3.518,3.471,0,0.234,0,0,0.109,0,0,1.274,3299.309653,2740.617288,2021.129487,1816.53914,3835.221644,24.93962247
4.192,6.12,5.359,0,0,0,0,0.765,0,0,0.68,3323.3973,2836.829615,2311.742008,2140.70086,3353.055039,27.5462815
2.671,1.992,2.894,0,0,0,0,0,0,0,0.453,3398.38693,2032.651221,1415.940858,1338.044444,2250.240079,17.13739316
1.331,1.669,2.283,0,0,0,0,0,0,0,1.062,3427.816832,2202.858561,1394.741924,1284.459382,2425.882017,19.09933955
1.25,2.608,2.14,0,0.406,0,0,0.412,0.016,0,1.289,3501.168459,2050.091631,1429.010085,1308.0638,2416.418221,16.14193935
1.673,1.7,2.425,0,0,0,0,0,0,0,0.453,3485.498201,1369.98254,769.2960317,682.9722222,1899.368254,10.38730159
2.014,1.445,2.433,0,0,0,0,0,0,0,0.68,3358.561527,2341.280303,1464.201753,1317.876263,2956.986542,18.95371361
2.358,2.892,3.089,0,0,0,0,0,0,0,0,3276.500271,2875.762103,2066.07381,1765.963889,3108.375,24.3015873
1.835,1.678,2.527,0,0,0,0,0,0,0,0,3365.804782,2029.351053,1285.234432,1090.270971,2288.318834,14.75897436
1.685,1.79,1.745,0,0,0,0,0,0,0,0,3387.751893,2544.973958,1553.132878,1454.294101,3184.798748,21.9209276
2.245,2.808,3.54,0,0,0,0,0,0,0,0.453,3278.595724,2970.822687,2237.221297,2035.274519,3202.327602,25.84129759
2.176,2.957,2.731,0.656,0,1.078,0.734,0,0.609,0,0,3374.031389,2965.092047,2221.854129,2081.113881,4771.227556,26.87754468
2.855,2.739,3.681,0,0,0,0,0,0,0,0.453,3329.113637,4096.325741,3306.65364,2820.00024,4973.290068,35.50090041
1.06,1.263,1.255,0,0,0,0,0,0,0,0,3327.947917,2963.617347,1813.841787,1568.031146,4010.579326,24.5224865
1.385,1.509,2.198,0,0,0,0,0,0,0,0.453,3281.936889,3091.046261,2579.512744,2357.424924,3891.678175,28.82644994
2.009,1.911,2.396,0,0.516,0,0,0,0,0,0,3332.381406,2605.158969,1736.546868,1445.658934,3111.285975,22.70198103
5.459,6.332,7.197,0.234,0.375,0,0,0,0,0,0,3422.909034,3285.169651,2673.56317,2469.766706,4367.691212,29.92963009
2.117,3.167,3.15,0,0,0,0,0,0,0,0.477,3281.526546,3873.624752,2613.720079,2377.375494,4800.507847,34.55171038
0.624,1.073,1.389,0,0,0,0,0,0,0,0.367,3392.748544,1905.047479,1156.62535,1048.023109,2349.817087,15.86988796
1.692,2.448,1.9,0,0,0,0,0.765,0,0,0,3534.220964,1576.795833,1255.533333,1151.158333,3036.995833,10.9875
1.316,2.686,2.282,0,0,0,0,0.106,0,0,0,3439.965828,1594.55733,1096.038702,914.561578,1710.555696,13.65980392
2.657,3.363,3.443,0,0,0.25,0,0,0,0,0.453,3358.516139,2961.58915,2148.271084,1961.361683,3575.236806,25.07709651
4.485,5.367,5.499,0.574,0.398,0.953,0.843,0.727,0.915,0.578,0.273,3257.107642,4793.738381,3507.987561,3220.378724,6293.52298,42.43200133
2.112,1.659,3.121,0,0,0,0,0,0,0,0.453,,,,,,
4.297,6.143,5.087,0,0.406,0.703,0,0,0,0,0,3392.653242,4284.651331,3479.956104,3084.283025,6096.786934,35.45574009
2.854,5.339,4.579,0.561,0,0,0.203,0,0.156,0,0,3396.601126,4860.194077,3662.770496,3331.668257,5796.057336,43.43358725
2.229,3.953,3.017,0,0,0,0,0,0,0,1.062,3445.314913,3387.846677,2628.053687,2343.391257,3832.217398,28.66100566
2.893,4.967,3.982,0,0.406,0.25,0,0,0,0,0,3439.513586,3331.387199,2748.706804,2549.779515,3640.403888,31.6220807
1.505,2.315,2.062,0,0,0.078,0,0,0.114,0,0,3463.0393,3497.164423,2286.499258,1949.214432,4340.736087,28.44625032
3.822,5.255,5.025,0.561,0.438,0,0.984,0.455,0.64,0,1.039,3399.040458,5894.640556,4185.488406,3643.104548,6935.800527,52.01760037
4.542,3.236,4.481,1.732,0.844,0.766,2.313,0,0.344,0,0.508,,,,,,
1.147,1.911,1.523,0,0,0,0,0,0,0,0.531,3483.181433,3209.49093,1897.906256,1768.998976,4074.335585,28.37076673
1.239,2.677,1.97,0,0.352,0,0,0.5,0,0,0.523,,,,,,
6.673,9.584,8.872,0.364,0.406,0.211,0,0.5,0.75,0,1.219,,,,,,
2.042,3.781,3.255,0,0,0,0,0,0,0,0.531,3411.366903,2172.320688,1729.801923,1525.987209,2732.783974,19.18682984
4.092,6.207,5.673,0,1.671,0,0,0,0,0,0.648,,,,,,
0.587,1.306,0.879,0,0,0,0,0,0,0,0,3357.98196,2202.98355,1576.89908,1397.393452,2789.031439,17.8474026
2.135,3.252,3.021,0,0,0,0,0,0.379,0,1.101,3408.956931,1907.163749,1557.200907,1455.58049,2043.196737,17.27426324
2.802,5.246,4.839,0,0.484,0,0,0.197,0,0,1.532,3449.054597,4375.673228,2746.720508,2494.586663,5904.13477,38.69278614
2.317,3.383,3.603,0,0,0,0,0,0,0,1,3486.206626,2228.939715,1610.833524,1425.058279,2772.426827,16.81958874
1.936,2.691,2.832,0,0,0,0,0,0,0,0.977,3338.423795,3382.366915,2743.679705,2206.405933,4238.535632,26.36553626
3.467,4.986,4.513,0,0.406,0,0,0,0,0,1.078,3304.788551,3956.466278,3024.382982,2793.073235,5440.92452,32.71580062
4.517,6.655,5.771,0,0.992,0,0.359,1.059,0,0,0,3348.98022,3985.170574,3328.260754,3072.954485,4714.864986,34.26867642
2.535,4.019,3.715,0,0.406,0,0,0,0,0,0,3324.986433,3356.912526,2820.613726,2222.86173,3570.651498,28.66638215
1.314,2.164,1.688,0,0.406,0,0,0,0,0,0,3313.122836,1436.706373,879.8279412,736.0710784,1715.637745,8.660294118
2.878,4.501,3.728,0,0.398,0,0,0,0,0,0.469,3294.678552,4627.919976,2826.041186,2639.448609,5477.301831,39.66692597
4.896,7.946,6.739,0,0.641,0,0,0.287,0,0.258,0,3389.366504,4647.376556,3677.089481,3347.73571,6222.658395,41.36106859
4.345,5.418,5.527,0,0.445,0,0.031,0.294,0,0,2.282,3337.787585,3370.79478,2446.866941,2255.429655,3534.333532,27.40407509
2.383,2.758,2.741,0,0,0,0,0,0,0,0.695,3382.037687,3518.320578,2667.954261,2431.626282,4776.089053,31.2823105
7.497,9.403,9.965,0,0.406,0,0.942,0.172,0.188,0,1.242,3274.230504,6143.000018,4627.517695,4238.511598,6813.229473,54.24996392
1.46,2.745,2.595,0,0,0,0,0,0,0,0,3352.347777,5111.151689,4197.015945,3605.571784,6055.820636,43.60122794
0.918,2.224,1.794,0,0,0,0,0.106,0,0,0.531,,,,,,
2.142,3.286,2.531,0.636,0.578,0.531,0.641,0.219,0.547,0.367,0,3285.69704,3821.616378,3223.057071,2609.793759,4480.228914,33.69025974
2.438,2.999,2.953,0.312,0,0.469,0.391,1.182,0.69,0,0.539,3338.554323,2862.783077,2528.838945,2330.152835,3081.722835,24.71584967
6.464,9.729,8.145,0,1.031,0,0,0.89,0.379,0.234,0.797,3286.999996,6018.267055,4075.067707,3751.68755,8474.172478,52.41010191
1.292,2.384,2.044,0,0,0,0,0.531,0.016,0,0.531,3485.102681,1735.65923,1393.554762,1295.37712,2506.965552,15.10503124
2.958,3.947,4.108,0,0,0,0,0.475,0.906,0,0,3399.841249,2575.340641,1821.169126,1655.43224,3238.20946,23.02228735
4.005,4.041,5.381,0,0.406,0,0.942,0,0,0,1.242,3376.761728,2540.405026,2235.91284,2103.05135,3264.610585,22.74475247
2.923,3.972,3.378,0,0.406,0,0,0.5,0,0,0,3357.491631,2479.968719,2118.440102,1976.221757,2756.776286,24.16835248
1.947,3.493,2.699,0,0,0,0,0.938,0,0,0,3440.311515,2904.248971,1898.159176,1707.632804,3916.821614,25.8163091
2.811,4.282,3.513,0,0.406,0,0,0,0,0,0.531,3417.915317,4103.260156,3069.159127,2678.284781,4675.030153,37.82139568
1.86,2.786,2.474,0,0,0,0,0,0,0,0,3325.731471,3582.148564,2785.894533,2458.180561,4423.457427,31.66801809
1.231,1.058,1.196,0,0.406,0,0,0,0,0,0,3415.650446,2747.989773,2151.960624,1977.346645,4080.941468,24.55652958
4.475,7.162,7.14,0,0.406,0,0,0,0,0,1.101,3343.153936,4140.529679,3588.667127,3252.996889,4764.315942,37.66953039
3.05,4.712,4.553,0,0.406,0,0,0,0,0,0.531,3312.405676,3345.858879,2504.010585,2246.680241,3796.704108,30.2459041
1.947,3.567,3.164,0,0,0,0,0,0,0,0.531,3267.351315,1824.249234,1419.366629,1244.197569,2233.33991,15.29208708
2.425,3.275,3.33,0.574,0.836,0.656,1.14,0,0.915,0.578,1.625,3427.545817,2524.326962,2079.537762,1959.657964,2882.5223,22.9485237
2.632,3.351,3.3,0,0,0,0,0,0,0,0,3412.712208,1684.760631,1349.823714,1172.402385,1979.700566,13.43988928
6.71,8.295,8.183,0,0.406,0,0,1.127,0,0,1.226,3203.643641,4647.958856,3813.555513,3525.989658,5296.229851,44.21534715
2.473,3.627,3.239,0,0.406,0,0,0,0,0,1.078,3328.349838,2067.609153,1685.531305,1595.995909,2194.060262,19.42105811
2.136,2.878,2.634,0.667,0.406,0,0.719,0,0,0,0,3322.937623,1902.222371,1291.936437,1151.033251,2447.201383,15.98055498
5.769,6.72,7.467,0.721,0.859,0,0,0,0,0.695,1.078,3325.660243,5477.644931,4811.034217,4380.291955,5905.82307,52.11780303
2.411,4.082,3.531,0,0.406,0,0,0,0,0,1.062,,,,,,
4.623,7.278,6.586,0,0.406,0,0,0,0,0,1.062,3351.717966,4563.562184,3258.786289,2993.876368,6517.525586,43.8840146
0.997,1.5,1.374,0,0.406,0,0,0,0,0,0.531,3385.662248,1726.753872,1308.440767,1215.426881,1854.77659,15.72382324
2.035,3.291,2.837,0,0.406,0,0,0.466,0,0.125,1.148,3230.129201,2544.880159,2280.818651,2128.687698,3321.023016,24.19880952
3.065,3.287,3.583,0,0,0,0,0.954,0,0.5,1.203,3337.706317,2763.730147,2028.971779,1809.452241,3293.556513,24.5827381
1.665,2.005,2.448,0.199,0.492,0,0.284,0,0,0,0.547,3328.839426,2097.745529,1731.473387,1507.612233,2606.279828,19.14391001
5.021,5.271,6.857,0,0.406,0,0.625,0.172,0,0,0.805,,,,,,
5.323,7.101,6.452,0,0.234,0,0.484,0,0.484,0,2.773,,,,,,
7.14,12.35,10.979,0,0.328,0,0,0,0,0,3.617,3258.459555,5716.905385,4987.572609,4401.435953,7872.234231,51.81622822
5.31,7.121,7.883,0.234,1.094,0,0,0.406,0,0,0.984,3244.614674,4840.785116,3935.50632,3501.438742,6665.156335,44.88239538
1.608,2.78,2.357,0,0,0,0,0,0,0,1.179,,,,,,
2.835,3.488,2.906,0,0,0,0,0.985,1.265,0,0.422,3407.337354,2241.522222,1910.336111,1738.465873,3077.204365,19.64444444
5.676,9.333,8.232,0,0.406,0,0.094,1.327,0,0,0.656,3295.245509,4977.190501,4402.921863,4120.384284,5631.158709,47.38044178
4.691,6.207,6.612,0,0.836,0,0.942,0.279,0,0,1.75,,,,,,
1.68,2.334,1.998,0,0.406,0,0,0,0,0,0,3335.818448,1819.918615,1576.647186,1511.081656,2282.696429,15.40692641
3.448,5.036,5.069,0,0.406,0,0,0,0,0,0.367,,,,,,
2.628,4.08,3.492,0,0,0,0,0,0,0,1.062,3351.782469,2141.446383,1843.106059,1635.251694,2461.735409,18.0703602
1.491,2.006,1.934,0,0.406,0,0,0,0,0,0,3380.905284,2283.294869,1840.43383,1617.484984,2977.293275,20.56655289
3.364,6.055,4.999,0,0,0,0,0.333,0,0,1.406,3395.353252,2940.061161,2375.546267,2076.216912,3479.20592,24.62028658
2.442,3.077,2.847,0,0,0,0,0,0,0,0.836,3396.719116,1736.759366,1327.74175,1242.766475,2225.044139,16.28906926
2.004,2.491,2.423,0,0,0,0,0,0,0,0.531,3372.994882,2194.257189,1791.682097,1684.012454,2973.303938,19.73621795
2.044,2.401,1.835,0,0,0,0,0.545,0,0,0.359,3404.538707,1649.022855,1194.94759,1138.881764,1684.860581,14.71337853
6.735,10.061,9.294,0,1.039,0,0.078,0.422,0,0.18,2.445,,,,,,
0.871,1.551,1.366,0,0.406,0,0,0,0,0,0,3479.141455,2150.541472,1896.071947,1420.492008,3256.724408,18.90953638
8.684,13.03,12.409,0,1.648,0.297,0,0.781,0.625,0,0.679,3355.971506,6212.071644,4820.403783,4398.783432,8509.675349,59.01565616
1.126,1.307,1.198,0,0,0,0,0,0,0,0.305,3315.762342,1385.939794,1083.941558,997.8742924,1421.475225,12.06756577
4.728,7.29,6.495,0,0,0.25,0,0.547,0,0,0,,,,,,
3.515,4.874,4.525,0,0,0.25,0,0,0.125,0,1.148,,,,,,
4.444,6.421,6.203,0,0,0.25,0,0.5,0,0,0.453,,,,,,
1.126,1.307,1.198,0,0,0,0,0,0,0,0.305,3357.954855,1389.892571,1165.12882,1082.066558,1355.613063,10.88741406
0.57,0.674,0.602,0,0,0,0,0,0,0,0,3348.440753,1113.702206,730.4170168,667.3981092,1157.738971,8.573004202
5.892,7.724,7.515,0,0.469,0,0.942,0.805,0,0,1.562,3246.800115,2666.535409,2432.374877,2247.930585,2780.577594,24.72863158
0.85,1.299,0.898,0,0,0,0,0,0,0,0,3298.708472,1354.7625,1054.5125,890.0375,1782.1375,8.116666667
1.586,2.707,1.928,0,0,0,0,0.547,0,0,0,3335.169418,2321.10338,1859.29944,1413.281791,2841.075844,17.98893378
2.997,3.901,3.433,0,0,0,0,0,0,0,0.461,3231.062927,2464.888719,2143.967202,2007.623407,2727.559751,22.2220518
2.715,3.802,2.924,0,0,0,0,0.859,0,0,0.242,3230.778545,2869.580034,1932.5625,1762.0556,3799.765894,25.25446833
2.466,3.799,2.713,0,0,0,0,0,0,0,0,3231.573416,2301.659633,2035.999513,1938.967961,2464.405786,21.30484238
0.827,2.157,1.385,0,0,0,0,0,0,0,0,3216.504753,1916.901118,1468.252706,1341.091595,2076.027706,18.13452381
7.795,9.188,8.632,0.25,1.476,0.664,0.599,0.438,0.359,0,0.929,3171.255992,4817.021858,4070.5791,3732.705624,5524.667709,44.85357771
1.902,3.097,2.831,0,0,0,0,0.438,0,0,1.266,3236.085339,6367.483336,4292.785179,3736.009984,8699.339821,57.43379676
0.823,1.469,0.923,0,0.328,0,0,0.186,0,0,0,,,,,,
1.109,2.468,1.341,0.167,0,0.133,0,0,0.669,0,0.281,3427.676894,3221.595106,2547.92577,2321.44039,3935.536728,30.51755818
4.531,5.128,5.001,0.667,0,0,0.359,0.5,0,0,0,3131.367074,3867.21187,3176.551708,2972.921741,4853.403372,35.28637147
2.945,3.209,2.883,0.359,0,0,0,0.469,0,0,0,3259.925914,3233.825682,2821.809802,2568.406137,3684.854877,29.56268405
1.891,2.184,2.382,0,0,0,0,0,0,0,0.414,3235.173894,3991.265099,2430.177654,2139.089816,6561.740313,34.89457405
1.558,1.943,1.703,0,0,0,0,0.438,0.125,0,0,3281.132463,2269.805521,1953.81879,1827.408819,2684.793319,18.9907683
1.517,1.698,1.433,0,0,0,0.359,0,0,0,0,3386.439828,1871.934081,1585.910043,1527.646581,2090.875427,16.96923077
2.551,4.187,3.477,0,0.929,0,0,0.878,0.016,0,1.851,3142.965708,4442.7642,3531.353841,3118.70532,5352.155295,39.37282162
0.796,1.235,1.1,0,0,0,0,0,0,0,0,3272.646032,1309.199913,1022.111024,944.4375389,1622.180721,10.49364802
1.931,2.409,2.617,0,0,0,0,0.106,0,0,0,3322.362724,2832.379644,2112.310825,1888.612586,3056.029494,22.1434279
4.344,5.129,5.466,0.697,1.57,0,0,1.118,0,0,1.727,3231.135363,3268.297106,2779.974553,2504.561623,3750.548125,29.02340144
5.926,9.119,9.924,0,0,0,0,0,0,0,2.312,,,,,,
5.958,7.028,6.267,0.516,0,0.383,0.484,0.441,0.623,0.398,1.234,,,,,,
2.718,4.789,4.425,0,0.656,0,0,0.375,0,0,0.985,,,,,,
4.373,6.707,5.222,0,0,0,0,0.876,0,0,0,3261.083985,3605.933333,3242.097619,3073.698413,4518.047619,33.24642857
2.741,4.459,3.298,0,0,0,0,0.393,0,0,0,3261.897779,2685.752137,1831.968269,1753.593697,3505.190278,23.45544872
1.131,1.327,1.231,0,0,0,0,0,0,0,0,3273.100422,1177.712531,1044.89156,998.3530983,1287.804106,10.74450549
1.043,1.898,1.251,0,0,0,0,0,0,0,0,3222.414824,1287.296462,1050.782309,987.412117,1392.790559,11.48266733
1.195,1.642,1.416,0,0,0,0,0,0.391,0,0,3244.394969,1978.050611,1537.449649,1308.948504,2500.91775,16.2518315
1.57,2.07,2.045,0,0,0,0,0.438,0,0,0,3231.65564,1698.889889,1207.773135,1047.082488,1777.564802,14.47762238
4.379,4.502,5.184,0.574,1.023,0.656,0.999,0.849,1.103,0.578,1.984,3230.515105,2711.735849,2339.798074,2209.124025,3213.418758,25.53225639
2.381,3.427,3.366,0,0,0,0,0,0,0,0.664,3240.748879,3422.27756,2693.447786,2448.726557,3746.34982,31.30856921
4.084,3.672,4.021,0.516,0.656,0.383,0.843,0.681,0.623,0.398,1.273,3124.212089,2535.888287,2159.337063,1901.089744,3189.05,21.15005828
0.57,0.674,0.602,0,0,0,0,0,0,0,0,3287.990399,1373.695798,1099.70167,971.4181373,1535.234648,11.06103749
0.713,1.402,1.199,0,0,0,0,0,0,0,0,3265.405625,1140.5125,715.45,626.0125,1082.825,8.1375
3.899,5.934,5.783,0,0,0.25,0,0.137,0,0,0.359,,,,,,
4.007,4.358,4.366,0,0.641,0,0.844,1.165,0,0.352,1.469,3255.330667,4434.605877,3659.851413,3369.698033,6199.444538,42.58357533
1.811,2.444,2.311,0,0,0,0,0.438,0,0,0.969,3272.757218,2793.073611,1511.537745,1384.721627,3741.309629,25.6199113
2.421,3.604,3.013,0,0.516,0,0,0.608,0,0.32,0.453,3296.893197,1700.050537,1341.605182,1165.305089,1914.417904,14.60992063
6.167,8.926,7.742,0.915,0.5,0,1.433,0.547,0.125,0.172,0,,,,,,
2.346,4.052,3.218,0,0,0,0,0.576,0,0,0.695,3146.411542,2694.871245,2190.777289,2069.320833,3177.519185,25.90013736
5.311,8.303,6.109,0,0,0,0,0,0,0,0,3105.223351,5446.338739,5093.915637,4762.017116,6538.556675,51.74151543
3.066,4.219,4.264,0,0,0,0,0,0,0,1.148,3240.223222,2086.410964,1785.471703,1767.484524,3195.410398,19.70859141
1.871,2.803,2.245,0,0,0,0,0.438,0,0,0,3248.450472,2133.484509,1483.032372,1245.082692,2140.851816,17.00363248
1.635,2.129,1.738,0,0,0,0,0,0,0,0,3185.906546,1602.672745,1273.675902,1179.730826,1921.928427,14.25441919
1.606,2.682,2.024,0,0,0,0,0.907,0,0,0,,,,,,
1.937,2.347,2.375,0,0,0,0,0,0.391,0,0,3179.230451,1446.616141,1276.158053,1189.338725,1466.679377,13.14530812
3.303,5.457,3.711,0.011,0.367,0,0.16,0.422,0.045,0.219,0.492,3159.792399,3710.898313,2821.114569,2445.793537,4992.197097,33.41342269
4.122,4.85,4.942,0,0,0,0.359,0,0.156,0,0.352,3469.783021,3538.558389,2681.525758,2620.723377,4938.924735,31.71414003
1.452,2.413,2.13,0,0,0,0,0.167,0,0,0.406,3557.710018,1624.369414,1099.220879,1002.558242,1782.89707,12.50128205
4.859,6.326,6.475,0,0.797,0,0,0,0,0,0.594,3424.264264,3935.306309,3456.924639,3145.343504,4384.998557,34.41056721
1.866,1.953,2.437,0,0.484,0,0,0,0,0,0,3350.772066,1854.961698,1525.801261,1373.092928,2128.351766,13.91853979
2.701,3.587,3.782,0,0,0,0,0,0,0,0,3494.743802,2390.830736,1940.400379,1768.410227,2743.00947,20.95508658
3.021,3.234,4.438,0.508,0,0.352,0.349,0,0.273,0,0.469,3527.677024,2801.558142,2213.600982,2062.577023,5015.508708,24.13838384
3.585,2.41,3.924,0.859,0,0,0.828,0,0.797,0,1.359,3394.673975,2846.392391,2261.405686,2138.820729,3688.03552,22.86774337
1.8,2.3,1.815,0,0,0,0,0,0,0,0.305,3430.238348,2059.246645,1429.465097,1242.927435,2567.643074,15.14615801
2.822,4.319,4.743,0,0.695,0,0.188,0.375,0,0.375,0,3361.905727,2841.106227,1724.366987,1548.683013,3299.570604,22.37367216
1.607,1.656,2.512,0,0,0,0,0,0,0,0.508,3476.31738,1560.365201,1272.237912,1090.709295,1710.423031,11.67179487
1.655,2.702,1.976,0,0,0,0,0,0,0,0.367,3369.331708,1956.41937,1430.829393,1303.160895,2324.419436,15.60770341
2.075,2.559,3.013,0,0,0,0,0,0,0,0,3402.920709,2611.478419,1935.336061,1698.058977,2883.158193,21.14774392
3.91,5.495,4.724,0,0,0,0,0,0,0,0.68,,,,,,
6.18,8.296,8.358,0,0.641,0,0.942,0.787,0,0.258,0,,,,,,
1.344,2.215,1.723,0,0,0,0,0,0,0,0.445,3388.254707,1576.927309,1282.803211,1168.235155,2026.911977,13.16486291
4.02,6.095,5.867,0.341,1.656,0.688,0.891,0.865,0.681,0,1.789,3319.690353,5018.824521,3958.850391,3666.343799,6301.603379,45.54584443
4.985,6.461,6.814,0.493,0.234,0.055,0.047,1.068,0.062,0,2.445,,,,,,
1.786,1.31,1.809,0.574,0.398,0.656,0.843,0,0.915,0.578,0.453,3332.501485,2454.319117,1825.860284,1685.53744,2670.100472,21.46295371
2.609,3.416,3.101,0,0.594,0,0,0,0,0,0,3292.442633,3615.783272,3048.968025,2842.421596,4341.351679,32.64700855
6.751,8.941,8.345,0,0.906,0,0,0,0,0,0.68,3370.589065,6398.722755,5206.349639,4570.429068,7525.161028,51.37329615
